"CountyName","AverageIncome","CountyId","StateId"
"Madison County, Mississippi","36903","89","28"
"Rankin County, Mississippi","31873","121","28"
"Boone County, Missouri","28415","19","29"
"Buchanan County, Missouri","28859","21","29"
"Cape Girardeau County, Missouri","25065","31","29"
"Cass County, Missouri","34107","37","29"
"Christian County, Missouri","27725","43","29"
"Clay County, Missouri","35784","47","29"
"Cole County, Missouri","32732","51","29"
"Franklin County, Missouri","30785","71","29"
"Greene County, Missouri","26466","77","29"
"Jackson County, Missouri","31266","95","29"
"Jasper County, Missouri","25320","97","29"
"Jefferson County, Missouri","32624","99","29"
"Platte County, Missouri","37284","165","29"
"St. Charles County, Missouri","37405","183","29"
"St. Francois County, Missouri","24267","187","29"
"St. Louis County, Missouri","34960","189","29"
"St. Louis city, Missouri","29755","510","29"
"Cascade County, Montana","30216","13","30"
"Flathead County, Montana","28459","29","30"
"Gallatin County, Montana","30306","31","30"
"Lewis and Clark County, Montana","31991","49","30"
"Missoula County, Montana","26959","63","30"
"Yellowstone County, Montana","31681","111","30"
"Douglas County, Nebraska","34588","55","31"
"Lancaster County, Nebraska","30988","109","31"
"Sarpy County, Nebraska","37174","153","31"
"Clark County, Nevada","30872","3","32"
"Washoe County, Nevada","33521","31","32"
"Cheshire County, New Hampshire","27230","5","33"
"Grafton County, New Hampshire","31523","9","33"
"Hillsborough County, New Hampshire","36897","11","33"
"Merrimack County, New Hampshire","35317","13","33"
"Rockingham County, New Hampshire","40752","15","33"
"Strafford County, New Hampshire","31461","17","33"
"Atlantic County, New Jersey","29718","1","34"
"Bergen County, New Jersey","45803","3","34"
"Burlington County, New Jersey","40368","5","34"
"Camden County, New Jersey","32342","7","34"
"Cape May County, New Jersey","33479","9","34"
"Cumberland County, New Jersey","25321","11","34"
"Essex County, New Jersey","32875","13","34"
"Gloucester County, New Jersey","37418","15","34"
"Hudson County, New Jersey","36780","17","34"
"Hunterdon County, New Jersey","51739","19","34"
"Mercer County, New Jersey","33576","21","34"
"Middlesex County, New Jersey","40722","23","34"
"Monmouth County, New Jersey","43673","25","34"
"Morris County, New Jersey","49276","27","34"
"Ocean County, New Jersey","34341","29","34"
"Passaic County, New Jersey","33154","31","34"
"Salem County, New Jersey","31317","33","34"
"Somerset County, New Jersey","52712","35","34"
"Sussex County, New Jersey","42496","37","34"
"Union County, New Jersey","37069","39","34"
"Warren County, New Jersey","37123","41","34"
"Bernalillo County, New Mexico","27384","1","35"
"Chaves County, New Mexico","23831","5","35"
"Doña Ana County, New Mexico","20430","13","35"
"Lea County, New Mexico","27374","25","35"
"McKinley County, New Mexico","17198","31","35"
"Otero County, New Mexico","23726","35","35"
"Sandoval County, New Mexico","27892","43","35"
"San Juan County, New Mexico","24594","45","35"
"Santa Fe County, New Mexico","32428","49","35"
"Valencia County, New Mexico","24373","61","35"
"Albany County, New York","34780","1","36"
"Bronx County, New York","22170","5","36"
"Broome County, New York","25673","7","36"
"Cattaraugus County, New York","25853","9","36"
"Cayuga County, New York","30874","11","36"
"Chautauqua County, New York","25391","13","36"
"Chemung County, New York","27398","15","36"
"Clinton County, New York","30491","19","36"
"Dutchess County, New York","35850","27","36"
"Erie County, New York","31813","29","36"
"Jefferson County, New York","29567","45","36"
"Kings County, New York","32134","47","36"
"Livingston County, New York","31071","51","36"
"Madison County, New York","29507","53","36"
"Monroe County, New York","31256","55","36"
"Nassau County, New York","45411","59","36"
"New York County, New York","50761","61","36"
"Niagara County, New York","30693","63","36"
"Oneida County, New York","29245","65","36"
"Onondaga County, New York","32339","67","36"
"Ontario County, New York","31561","69","36"
"Orange County, New York","32318","71","36"
"Oswego County, New York","27613","75","36"
"Putnam County, New York","41892","79","36"
"Queens County, New York","32374","81","36"
"Rensselaer County, New York","36283","83","36"
"Richmond County, New York","40158","85","36"
"Rockland County, New York","38315","87","36"
"St. Lawrence County, New York","26069","89","36"
"Saratoga County, New York","40872","91","36"
"Schenectady County, New York","31877","93","36"
"Steuben County, New York","28969","101","36"
"Suffolk County, New York","41608","103","36"
"Sullivan County, New York","29544","105","36"
"Tompkins County, New York","29222","109","36"
"Ulster County, New York","31758","111","36"
"Warren County, New York","30072","113","36"
"Wayne County, New York","31252","117","36"
"Westchester County, New York","41867","119","36"
"Alamance County, North Carolina","28639","1","37"
"Brunswick County, North Carolina","27740","19","37"
"Buncombe County, North Carolina","30363","21","37"
"Burke County, North Carolina","24856","23","37"
"Cabarrus County, North Carolina","32087","25","37"
"Caldwell County, North Carolina","22572","27","37"
"Carteret County, North Carolina","27685","31","37"
"Catawba County, North Carolina","27466","35","37"
"Chatham County, North Carolina","32695","37","37"
"Cleveland County, North Carolina","23021","45","37"
"Craven County, North Carolina","27124","49","37"
"Cumberland County, North Carolina","26341","51","37"
"Davidson County, North Carolina","26811","57","37"
"Durham County, North Carolina","32433","63","37"
"Forsyth County, North Carolina","29264","67","37"
"Franklin County, North Carolina","33889","69","37"
"Gaston County, North Carolina","26224","71","37"
"Guilford County, North Carolina","29966","81","37"
"Harnett County, North Carolina","25922","85","37"
"Henderson County, North Carolina","28025","89","37"
"Iredell County, North Carolina","28804","97","37"
"Johnston County, North Carolina","28216","101","37"
"Lincoln County, North Carolina","31423","109","37"
"Mecklenburg County, North Carolina","34283","119","37"
"Moore County, North Carolina","30774","125","37"
"Nash County, North Carolina","26141","127","37"
"New Hanover County, North Carolina","29869","129","37"
"Onslow County, North Carolina","24729","133","37"
"Orange County, North Carolina","30978","135","37"
"Pitt County, North Carolina","22330","147","37"
"Randolph County, North Carolina","25311","151","37"
"Robeson County, North Carolina","21875","155","37"
"Rockingham County, North Carolina","23507","157","37"
"Rowan County, North Carolina","25779","159","37"
"Rutherford County, North Carolina","21998","161","37"
"Surry County, North Carolina","24877","171","37"
"Union County, North Carolina","35103","179","37"
"Wake County, North Carolina","40164","183","37"
"Wayne County, North Carolina","24741","191","37"
"Wilkes County, North Carolina","23322","193","37"
"Wilson County, North Carolina","23024","195","37"
"Burleigh County, North Dakota","40628","15","38"
"Cass County, North Dakota","36028","17","38"
"Grand Forks County, North Dakota","30559","35","38"
